relative_time,DecibelSource
0,10.933474097014672
40,10.175736340843748
79,7.880151967208678
121,7.519712315224102
161,8.308806814131325
199,7.150982423855981
239,15.069487398613068
279,26.091994403305193
319,49.67208992746433
359,52.08411907293089
418,51.45206983072829
459,49.3453371482139
498,48.80429508491233
539,47.945658684678165
579,47.35655113665822
619,41.90646485085047
658,41.68190851202859
698,42.47047139123407
738,41.17319134382414
779,40.85077686586732
819,44.144788085892365
859,44.97559390939382
899,44.553701735360875
938,40.40691149227098
979,34.353103840854004
1019,38.289236706797894
1059,41.897286366493454
1100,42.134213391803705
1139,44.74244702888547
1180,42.5227042733263
1219,38.05120172435918
1259,35.054404761346966
1299,30.951874544442664
1342,28.946365041940695
1379,31.249617594220314
1419,24.926832348063016
1459,22.178700666474978
1499,17.521856873471734
1539,16.139526645287777
1578,27.468851646878104
1620,18.194961969514054
1664,23.692282855313618
1723,21.307088030570377
1760,17.92333052032281
1803,25.59793112099917
1840,35.28184582534391
1884,37.017562848469595
1923,35.76380240469242
1963,32.311672565573055
2004,32.333092124405084
2044,36.41444064477459
2084,33.96164793552454
2123,31.25271721513849
2164,34.71234476230183
2203,37.498158272895054
2241,37.210642479935665
2283,36.1958818037791
2324,34.219000642754935
2364,29.869171210271528
2404,25.80657097484069
2444,23.656362955988577
2484,21.700242111700927
2524,18.43029669679186
2564,20.106647511659883
2604,17.197297821171695
2644,15.44158051417224
2684,14.333786813944121
2724,13.356168275424027
2764,11.1147555093523
2804,13.43720626444597
2844,14.246975560079115
2884,15.926339479984765
2924,16.415703765890473
2983,22.31653306594312
3023,37.20335561280611
3063,37.82549602042716
3104,32.60999056771665
3144,36.171663262559534
3181,38.990949472751026
3224,35.584903990939466
3263,35.47503365092495
3300,45.19292483549427
3343,45.38653970376167
3383,46.5194711965292
3423,40.481548752070076
3463,37.33019787885939
3503,34.683141912443546
3544,33.13049749347612
3584,31.29741847310505
3624,27.184261500831095
3663,23.627991837727706
3704,20.778543644492732
3744,20.949649102088003
3785,17.74052379358863
3824,12.613425387988752
3864,16.823757783695715
3904,22.512429460403727
3945,22.945670918596264
3985,24.011119308200307
4024,28.92160778340891
4064,28.459454441502423
4104,24.671264378362885
4145,23.391474246159692
4184,27.000630884496996
4224,38.46486226116473
4283,45.84424999352389
4323,49.224897510416305
4363,48.37757245041071
4403,49.42236509926887
4443,45.50873880647325
4483,47.67467634029678
4523,45.73913261900024
4564,43.75707041237747
4603,44.308629202065674
4643,41.5016788845719
4683,31.989090290894087
4724,29.990270801869446
4764,27.71685476740942
4803,27.525855789652663
4844,29.495732295432816
4883,25.55000603050869
4929,22.820535984546318
4964,38.264774987355906
5004,32.60218904593191
5044,45.74222922500031
5084,47.78797630399926
5124,43.3458902074844
5161,38.754589260422584
5205,49.685377322479724
5244,47.33250082050846
5284,51.34822909407347
5324,47.50544793451874
5364,50.82478310177949
5404,51.345509318189926
5444,42.014899702038065
5484,40.41816571899695
5543,37.92425969202781
5583,42.48122006574452
5623,44.27713747847054
5676,42.60309826016403
5703,45.47144854992385
5743,44.845592928313984
5780,42.61376234813408
5823,42.597419042307756
5863,40.30723026081731
5903,36.88715162345326
5944,30.47199655729626
5983,25.91507450030872
6024,22.811906771157066
6063,21.469253333316157
6104,19.529615430580286
6143,19.33652213952587
6184,10.48234519430169
6224,8.97970542855912
6264,8.398734864875536
6304,8.760618308097891
6344,9.06319405921598
6384,8.64065879090237
6424,7.540683461775648
6461,8.77285196356489
6504,10.193156921037103
6544,9.440528358071912
6584,7.857587051153442
6624,10.662676738051262
