timestamp,DecibelSource
1518781435272,6.363277915016448
1518781435352,2.85047191693806
1518781435432,2.630651431212968
1518781435512,2.9486709032463496
1518781435612,2.8680369350944455
1518781435692,2.988433335132293
1518781435772,3.271878288032241
1518781435852,3.628748569173786
1518781435932,3.2713077862489524
1518781436012,3.183708264825812
1518781436093,3.1778827175820528
1518781436173,16.806905477660507
1518781436251,24.487071823662568
1518781436332,23.47718149366432
1518781436412,17.088015718432906
1518781436491,23.788924631513616
1518781436571,23.44518366060116
1518781436651,17.55517558670106
1518781436732,20.137268969724747
1518781436831,21.33789207054377
1518781436911,19.364062977637754
1518781436991,19.359009793222583
1518781437072,20.391329443161204
1518781437151,19.333146696681943
1518781437231,19.84145409949541
1518781437311,15.374360805814465
1518781437392,11.321878359204797
1518781437471,4.952376116048856
1518781437551,3.6182265899044994
1518781437631,3.2306093979813215
1518781437712,3.2673121739892963
1518781437791,2.822725405826864
1518781437871,3.1115051808468634
1518781437951,2.9345134630515175
1518781438032,2.5126876531584736
1518781438131,2.251563423347023
1518781438211,2.6021251502023097
1518781438291,3.7053126302419592
1518781438371,4.803807421564015
1518781438451,3.0686761764395283
1518781438531,2.7396959906891687
1518781438611,11.224718726698073
1518781438691,6.6427252042376095
1518781438771,3.0314541378660214
1518781438852,3.545457390308835
1518781438931,2.9252554232653765
1518781439011,15.880277229292242
1518781439091,6.380321693700418
1518781439171,11.016343196928695
1518781439251,3.3212272418239435
1518781439331,2.6478094181704663
1518781439431,7.199746151267954
1518781439511,9.191335669629849
1518781439591,2.7826862660661575
1518781439671,2.9866061372290216
1518781439751,2.513367034437768
1518781439831,2.746783358630951
1518781439911,3.6669388980019098
1518781439991,7.242255672510459
1518781440071,6.536700483630929
1518781440152,4.700355616928781
1518781440231,3.274729673348398
1518781440312,2.69041013902457
1518781440391,2.794800485410605
1518781440471,2.732597037773457
1518781440551,3.3789360592544764
1518781440631,2.9786793842179984
1518781440731,3.128047501885622
1518781440811,4.218443761272895
1518781440891,5.5114218377988635
1518781440971,4.496952994075794
1518781441051,3.915927025874809
1518781441131,5.313862432196117
1518781441212,10.539226368188988
1518781441291,6.365796781100994
1518781441371,3.6835745700317246
1518781441451,3.2323367873918434
1518781441532,2.9689034772898766
